year,match_id,match_name,stage_name,group_name,match_date,match_time,stadium_name,city_name,country_name,home_team_name,away_team_name,score,home_team_score,away_team_score,extra_time,penalty_shootout,score_penalties,result
2022,M-2022-37,Australia vs Denmark,group stage,Group D,2022-11-30,18:00,Al Janoub Stadium,Al Wakrah,Qatar,Australia,Denmark,1–0,1,0,0,0,0-0,home team win
2022,M-2022-38,Tunisia vs France,group stage,Group D,2022-11-30,18:00,Education City Stadium,Al Rayyan,Qatar,Tunisia,France,1–0,1,0,0,0,0-0,home team win
2022,M-2022-39,Poland vs Argentina,group stage,Group C,2022-11-30,22:00,Stadium 974,Doha,Qatar,Poland,Argentina,0–2,0,2,0,0,0-0,away team win
2022,M-2022-40,Saudi Arabia vs Mexico,group stage,Group C,2022-11-30,22:00,Lusail Stadium,Lusail,Qatar,Saudi Arabia,Mexico,1–2,1,2,0,0,0-0,away team win
2022,M-2022-41,Canada vs Morocco,group stage,Group F,2022-12-01,18:00,Al Thumama Stadium,Doha,Qatar,Canada,Morocco,1–2,1,2,0,0,0-0,away team win
2022,M-2022-42,Croatia vs Belgium,group stage,Group F,2022-12-01,18:00,Ahmad bin Ali Stadium,Al Rayyan,Qatar,Croatia,Belgium,0–0,0,0,0,0,0-0,draw
2022,M-2022-43,Costa Rica vs Germany,group stage,Group E,2022-12-01,22:00,Al Bayt Stadium,Al Khor,Qatar,Costa Rica,Germany,2–4,2,4,0,0,0-0,away team win
2022,M-2022-44,Japan vs Spain,group stage,Group E,2022-12-01,22:00,Khalifa International Stadium,Al Rayyan,Qatar,Japan,Spain,2–1,2,1,0,0,0-0,home team win
2022,M-2022-45,Ghana vs Uruguay,group stage,Group H,2022-12-02,18:00,Al Janoub Stadium,Al Wakrah,Qatar,Ghana,Uruguay,0–2,0,2,0,0,0-0,away team win
2022,M-2022-46,South Korea vs Portugal,group stage,Group H,2022-12-02,18:00,Education City Stadium,Al Rayyan,Qatar,South Korea,Portugal,2–1,2,1,0,0,0-0,home team win
2022,M-2022-47,Cameroon vs Brazil,group stage,Group G,2022-12-02,22:00,Lusail Stadium,Lusail,Qatar,Cameroon,Brazil,1–0,1,0,0,0,0-0,home team win
2022,M-2022-48,Serbia vs Switzerland,group stage,Group G,2022-12-02,22:00,Stadium 974,Doha,Qatar,Serbia,Switzerland,2–3,2,3,0,0,0-0,away team win
2022,M-2022-49,Netherlands vs United States,round of 16,not applicable,2022-12-03,18:00,Khalifa International Stadium,Al Rayyan,Qatar,Netherlands,United States,3–1,3,1,0,0,0-0,home team win
2022,M-2022-50,Argentina vs Australia,round of 16,not applicable,2022-12-03,22:00,Ahmad bin Ali Stadium,Al Rayyan,Qatar,Argentina,Australia,2–1,2,1,0,0,0-0,home team win
2022,M-2022-51,France vs Poland,round of 16,not applicable,2022-12-04,18:00,Al Thumama Stadium,Doha,Qatar,France,Poland,3–1,3,1,0,0,0-0,home team win
2022,M-2022-52,England vs Senegal,round of 16,not applicable,2022-12-04,22:00,Al Bayt Stadium,Al Khor,Qatar,England,Senegal,3–0,3,0,0,0,0-0,home team win
2022,M-2022-53,Japan vs Croatia,round of 16,not applicable,2022-12-05,18:00,Al Janoub Stadium,Al Wakrah,Qatar,Japan,Croatia,1–1,1,1,1,1,1–3,away team win
2022,M-2022-54,Brazil vs South Korea,round of 16,not applicable,2022-12-05,22:00,Stadium 974,Doha,Qatar,Brazil,South Korea,4–1,4,1,0,0,0-0,home team win
2022,M-2022-55,Morocco vs Spain,round of 16,not applicable,2022-12-06,18:00,Education City Stadium,Al Rayyan,Qatar,Morocco,Spain,0–0,0,0,1,1,3–0,home team win
2022,M-2022-56,Portugal vs Switzerland,round of 16,not applicable,2022-12-06,22:00,Lusail Stadium,Lusail,Qatar,Portugal,Switzerland,6–1,6,1,0,0,0-0,home team win
2022,M-2022-57,Croatia vs Brazil,quarter-finals,not applicable,2022-12-09,18:00,Education City Stadium,Al Rayyan,Qatar,Croatia,Brazil,1–1,1,1,1,1,4–2,home team win
2022,M-2022-58,Netherlands vs Argentina,quarter-finals,not applicable,2022-12-09,22:00,Lusail Stadium,Lusail,Qatar,Netherlands,Argentina,2–2,2,2,1,1,3–4,away team win
2022,M-2022-59,Morocco vs Portugal,quarter-finals,not applicable,2022-12-10,18:00,Al Thumama Stadium,Doha,Qatar,Morocco,Portugal,1–0,1,0,0,0,0-0,home team win
2022,M-2022-60,England vs France,quarter-finals,not applicable,2022-12-10,22:00,Al Bayt Stadium,Al Khor,Qatar,England,France,1–2,1,2,0,0,0-0,away team win
2022,M-2022-61,Argentina vs Croatia,semi-finals,not applicable,2022-12-13,22:00,Lusail Stadium,Lusail,Qatar,Argentina,Croatia,3–0,3,0,0,0,0-0,home team win
2022,M-2022-62,France vs Morocco,semi-finals,not applicable,2022-12-14,22:00,Al Bayt Stadium,Al Khor,Qatar,France,Morocco,2–0,2,0,0,0,0-0,home team win
2022,M-2022-63,Croatia vs Morocco,third-place match,not applicable,2022-12-17,18:00,Khalifa International Stadium,Al Rayyan,Qatar,Croatia,Morocco,2–1,2,1,0,0,0-0,home team win
2022,M-2022-64,Argentina vs France,final,not applicable,2022-12-18,18:00,Lusail Stadium,Lusail,Qatar,Argentina,France,3–3,3,3,1,1,4–2,home team win
